duration,numberOfSubscribers,view,time(sec)
1:27,20600,2322,87
1:26,9030000,1376908,86
1:26,4870000,2467,86
1:26,2160000,176728,86
1:26,2190000,61850,86
1:26,17300,993822,86
1:26,77200,66472,86
1:26,434000,48302,86
1:26,87600,31434,86
1:26,671000,667198,86
1:26,434000,153642,86
1:26,284000,288399,86
1:26,27700,2001,86
1:25,191000,2350,85
1:25,1070,2,85
1:25,0,1,85
1:23,373,1128,83
1:23,1230000,1548,83
1:23,11100,256,83
1:22,685,78,82
1:21,0,41,81
1:21,13700,7084,81
1:21,2510000,58875,81
1:21,87600,12492,81
1:21,589000,1558786,81
1:21,0,9302,81
1:20,382,1072,80
1:20,0,17868,80
1:20,115,0,80
1:19,11,2778,79
1:19,2,39,79
1:18,0,43097,78
1:18,1940,688,78
1:18,5670,242,78
1:18,189000,71735,78
1:18,340,5928,78
1:18,168000,10151,78
1:18,1380,1363,78
1:18,30400,12155,78
1:18,234,1975,78
1:18,667000,10876,78
1:18,151,1329,78
1:18,372,3289,78
1:18,8780,903,78
1:18,387,236,78
1:18,27400,25530,78
1:18,734,9181,78
1:18,805,255,78
1:18,242,713,78
1:18,10400,12055,78
1:18,1570,181,78
1:18,44000,24422,78
1:18,18800,1754,78
1:18,94700,139,78
1:18,45500,25342,78
1:18,150000,25807,78
1:18,840000,18617,78
1:18,3290,50,78
1:18,4350,13427,78
1:17,40,19,77
1:17,200000,3072,77
1:17,434000,31395,77
1:16,191000,4716,76
1:15,2050000,699385,75
1:15,1760000,1254549,75
1:14,0,5257,74
1:14,7270,1367,74
1:14,136000,1296798,74
1:14,33500,27280,74
1:14,33300000,193909,74
1:14,38000,1954,74
1:13,3870,15492,73
1:12,10900,13137,72
1:11,423000,49684,71
1:11,1250,49,71
1:11,15,125,71
1:10,0,1419,70
1:10,86400,12782,70
1:09,522,143617,69
1:09,236000,2258,69
1:09,6420,12813,69
1:09,38700,27015,69
1:09,1680,3043,69
1:09,14300,18772,69
1:09,3680,2974,69
1:09,0,0,69
1:09,1490000,2951480,69
1:09,7410,90835,69
1:09,67,10330,69
1:09,999,50561,69
1:09,109000,124992,69
1:09,734000,200318,69
1:09,9320,69982,69
1:09,6690,50229,69
1:09,1230000,676781,69
1:09,1320000,33264,69
1:09,23100,118,69
1:09,1160000,1265590,69
1:09,167000,14168,69
1:09,4350,43504,69
1:09,20600,4590,69
1:09,12000,3091,69
1:09,0,56420,69
1:08,167000,132123,68
1:08,3240000,406851,68
1:08,12900000,1049094,68
1:07,382,1062,67
1:06,522000,254,66
1:05,0,1653262,65
1:05,1630000,3833,65
1:05,1600000,27899,65
1:05,160,31972,65
1:05,1700,10144,65
1:05,5270,6126,65
1:05,4330,275,65
1:05,90,1058,65
1:05,1230,6335,65
1:05,212,3451,65
1:05,0,418,65
1:05,3450,847,65
1:05,849,18332,65
1:04,0,3026,64
1:04,141,35,64
1:04,0,1503,64
1:04,1400,58,64
1:04,193000,72979,64
1:04,27400,50569,64
1:04,15700,16240,64
1:03,17700,10075,63
1:03,908,5556,63
1:03,4450,12952,63
1:03,499,243,63
1:03,274,74051,63
1:03,685,5447,63
1:03,3550,538,63
1:03,0,1199,63
1:03,0,1676,63
1:03,0,923,63
1:03,0,1219,63
1:03,25600,71,63
1:03,1110,1386,63
1:03,160000,1591,63
1:02,1890,16,62
1:02,836,638,62
1:02,40500,3285,62
1:02,840000,297525,62
1:02,25200,124574,62
1:02,716000,13692,62
1:02,118,47,62
1:01,1910,74,61
1:01,22300,3478,61
1:00,99000,41379,60
1:00,166,424,60
1:00,1350,1539,60
1:00,78900,69586,60
1:00,360000,177104,60
1:00,581000,3797,60
1:00,14100,18471,60
1:00,230,473,60
1:00,261000,1197,60
1:00,507000,17465,60
1:00,153000,6461,60
1:00,581000,1410,60
1:00,1210,706,60
1:00,184,9964,60
1:00,3380,11928,60
1:00,1350,1541,60
1:00,3850,2154,60
1:00,548,1347,60
1:00,1230,2412,60
1:00,1220,571,60
1:00,374,335,60
1:00,2010,225,60
1:00,0,519,60
1:00,0,1495,60
1:00,174000,80010,60
1:00,387,740,60
1:00,348,1091,60
1:00,18800,3186,60
1:00,1230,7368,60
1:00,3620,12013,60
1:00,367,53,60
1:00,24900,461,60
1:00,38000,1050,60
1:00,6730,1445,60
1:00,0,568,60
1:00,1,1,60
1:00,1480000,23968,60
1:00,2210000,431218,60
1:00,2210000,625708,60
1:00,254000,160005,60
1:00,67,5,60
1:00,192,21425,60
1:00,292000,53222,60
1:00,56400,6052,60
0:59,292,54,59
0:59,0,2374,59
0:59,382,536,59
0:59,382,2132,59
0:59,101000,2082,59
0:59,108000,127167,59
0:59,6150,3568,59
0:59,1820,475,59
0:59,1820,546,59
0:59,1820,455,59
0:59,1820,511,59
0:59,1820,366,59
0:59,1820,790,59
0:59,1820,256,59
0:59,0,833,59
0:59,1820,305,59
0:59,1820,584,59
0:59,1820,428,59
0:59,143,56,59
0:58,29,570,58
0:58,2110,2978,58
0:58,477,535,58
0:58,281,3789,58
0:58,0,465,58
0:58,1680,3327,58
0:58,172,529,58
0:58,3550000,361886,58
0:58,3370000,3749950,58
0:58,11300,31224,58
0:58,16800,111020,58
0:58,162,235,58
0:58,21200,456,58
0:58,423000,9458,58
0:58,569,1245,58
0:58,123000,2293,58
0:58,20400000,1877358,58
0:58,53600,14010,58
0:58,296000,2399,58
0:58,0,22,58
0:58,66,382,58
0:58,392,12419,58
0:58,0,62992,58
0:58,311,40581,58
0:58,197000,19313,58
0:58,806,3808,58
0:58,1480000,323098,58
0:58,1480000,571779,58
0:58,1480000,1495468,58
0:58,0,51,58
0:58,45700,1735,58
0:58,254000,18287,58
0:58,1170,8569,58
0:58,1130,3305,58
0:58,16900,1389,58
0:58,974,1496,58
0:57,0,39959,57
0:57,9250,16912,57
0:57,0,4342,57
0:57,14900,73721,57
0:57,2000,3100,57
0:57,37500,7472,57
0:57,240,2691,57
0:57,1550,2423,57
0:57,843,7677,57
0:57,1550,7188,57
0:57,50800,5734,57
0:57,7,17604,57
0:57,1310000,2203,57
0:57,1160000,2072,57
0:57,0,20604195,57
0:57,384000,20147,57
0:57,2780,619,57
0:57,231000,1971103,57
0:57,6780,22407,57
0:57,0,1467826,57
0:57,0,6875,57
0:57,0,1313,57
0:57,296,2175,57
0:57,53700,5164334,57
0:57,69,6516,57
0:57,0,7106,57
0:57,205,60,57
0:57,455,22,57
0:57,1480000,841632,57
0:57,5980000,2128579,57
0:56,4620000,371691,56
0:55,1430000,1412973,55
0:55,9030000,2495925,55
0:55,489,7,55
0:55,0,8,55
0:55,772,8688,55
0:55,0,12,55
0:55,177000,59537,55
0:55,177000,25649,55
0:55,177000,22467,55
0:54,2010,27641,54
0:54,1110,62,54
0:54,4620000,2524246,54
0:54,298,28716,54
0:53,6,13,53
0:53,6150,104501,53
0:53,0,9,53
0:53,519,42860,53
0:52,735,351,52
0:52,0,703,52
0:52,146000,36588,52
0:52,280000,224809,52
0:52,36,15,52
0:52,139,11551,52
0:52,1620000,70793,52
0:52,2000000,4612370,52
0:51,22500,309,51
0:51,27,477,51
0:51,802,83,51
0:51,2150000,384206,51
0:51,69800,4828,51
0:51,87600,228348,51
0:51,225000,1677395,51
0:51,0,8,51
0:50,9890,6322,50
0:50,22900,46300,50
0:50,9890,5918,50
0:50,336000,15222,50
0:50,3240000,4437562,50
0:50,1600,303,50
0:50,667000,35665,50
0:50,1040,339,50
0:50,363,1487,50
0:50,1490000,1649714,50
0:49,3550,238,49
0:49,10000000,1295073,49
0:49,294000,4374787,49
0:49,10000000,2840061,49
0:49,2160000,1164303,49
0:49,0,12,49
0:48,224000,43011,48
0:48,1710,23225,48
0:48,21800,2863,48
0:48,291000,47,48
0:48,0,13976,48
0:48,74000000,27352322,48
0:48,2,12,48
0:48,4,33,48
0:47,332,4696,47
0:47,971,1,47
0:47,53600,172868,47
0:47,567000,208124,47
0:47,33300,3937,47
0:46,42800,14362,46
0:45,8610,41228,45
0:45,666000,45589,45
0:45,0,6511966,45
0:45,1050000,15120,45
0:45,6,301,45
0:45,276000,396231,45
0:45,4620000,1381165,45
0:45,949000,1462568,45
0:45,7060,66,45
0:45,949000,174659,45
0:45,0,997,45
0:44,3990,1008,44
0:44,0,86,44
0:43,3130,854,43
0:43,0,1374,43
0:43,11300,14952,43
0:43,76,91,43
0:43,0,140,43
0:43,970,129,43
0:42,33100,45240,42
0:42,366,2192,42
0:42,144,240,42
0:42,0,12,42
0:42,69,6303,42
0:42,4060,1324,42
0:42,840000,137454,42
0:42,65200,7645,42
0:42,5920,2017,42
0:42,23300,231470,42
0:42,74100,97255,42
0:42,60900,51,42
0:42,1490000,902693,42
0:42,6050,191,42
0:42,76,3063,42
0:42,54200,275647,42
0:42,87,105,42
0:42,34,5683,42
0:41,33000000,14620,41
0:41,313,28349,41
0:41,3920,1844,41
0:41,2510,557,41
0:41,70300,2867,41
0:41,1270,7701,41
0:41,99200,16915,41
0:41,11,0,41
0:41,1760000,1364140,41
0:41,1400000,6015989,41
0:41,1760000,7309803,41
0:41,25600,738326,41
0:41,4620000,1123157,41
0:41,95700,1069777,41
0:41,4620000,1508537,41
0:41,1300000,8282211,41
0:41,394000,17379,41
0:41,418000,10512,41
0:41,1,0,41
0:41,10000000,1690043,41
0:41,470000,301193,41
0:41,1760000,3071197,41
0:40,74100,5969,40
0:40,1080,215,40
0:40,1040000,67071,40
0:40,74300,6126,40
0:40,0,146929,40
0:40,466000,71019,40
0:40,258,8,40
0:40,12900000,831152,40
0:40,77200,66098,40
0:40,18200,13771,40
0:40,1090000,30248,40
0:40,11300,10135,40
0:40,311,115,40
0:40,470,8,40
0:40,9210000,273980,40
0:40,62000,281,40
0:39,112000,1258599,39
0:39,2160000,5659699,39
0:39,4620000,28697988,39
0:39,51300,20552551,39
0:39,1040000,86806,39
0:39,10000000,2495052,39
0:39,1040000,330497,39
0:39,10000000,10668273,39
0:39,136000,28239,39
0:39,1490000,4026722,39
0:39,190000,1686096,39
0:39,98900,22963,39
0:39,10000000,2289458,39
0:39,589000,480764,39
0:39,1490000,399647,39
0:38,3140,5,38
0:38,40,109,38
0:38,1820,348,38
0:38,0,1,38
0:37,341,3288,37
0:37,0,748,37
0:37,2860,2158,37
0:37,45,2,37
0:37,971,1,37
0:37,1160000,864035,37
0:37,5050000,40712,37
0:37,78200,66480,37
0:37,19900,1587,37
0:37,1990,2,37
0:37,10,2,37
0:36,284,106,36
0:36,497,554,36
0:36,4500,119,36
0:36,135,193,36
0:36,32,2,36
0:35,32200,208199,35
0:35,66,3859,35
0:35,374000,27849,35
0:35,137000,1913899,35
0:35,647000,31617,35
0:35,0,6262,35
0:35,20700,109837,35
0:35,14100,23112,35
0:35,1630,5849,35
0:35,2150,59590,35
0:35,640000,575220,35
0:35,1490000,387354,35
0:35,1330,72,35
0:35,3710,179,35
0:35,82200,1120,35
0:35,2160000,2985609,35
0:35,1040000,102146,35
0:35,394000,903943,35
0:34,6190,12292,34
0:34,0,1868,34
0:34,0,10251,34
0:34,837,2531,34
0:34,20000,2144610,34
0:34,190000,386572,34
0:34,589000,80666,34
0:34,190000,9712,34
0:34,589000,884708,34
0:34,0,1,34
0:33,125000,47,33
0:33,17200,89,33
0:33,5240,32,33
0:33,29,12963,33
0:33,0,60,33
0:33,1820,348,33
0:33,1820,641,33
0:33,1630,2,33
0:32,190000,629424,32
0:32,13400,698,32
0:32,190000,12142,32
0:32,509,9833,32
0:32,640000,194469,32
0:32,711000,131494,32
0:32,423000,3627,32
0:32,23200,169488,32
0:32,999,10339,32
0:32,626000,166486,32
0:32,139000,154304,32
0:32,0,713,32
0:32,84,626,32
0:32,11100,17754,32
0:32,194000,661,32
0:32,397000,6566,32
0:32,567000,66589,32
0:32,12300,68022,32
0:31,82,36,31
0:31,1680,3310,31
0:31,775,1812,31
0:31,5790,314,31
0:31,35600,3558,31
0:31,0,6,31
0:31,2180,4796,31
0:31,11900,5198,31
0:31,92900,5237,31
0:31,0,402,31
0:31,1810,424,31
0:31,16,1141,31
0:31,831,1714,31
0:31,7260,3178,31
0:31,0,3,31
0:30,0,31465,30
0:30,3430000,1721479,30
0:30,251000,10248,30
0:30,319000,3642,30
0:30,0,1442,30
0:30,0,7332,30
0:30,0,4814,30
0:30,0,2623,30
0:30,249000,50069,30
0:30,56800,36551,30
0:30,7440000,85111,30
0:30,675000,54946,30
0:30,336000,18235,30
0:30,393,49271,30
0:30,153000,8389,30
0:30,23,1680,30
0:30,381000,11723,30
0:30,196000,26135,30
0:30,1280000,3537,30
0:30,381000,6361,30
0:30,3970000,1786151,30
0:30,2880,8421,30
0:30,42400,23169,30
0:30,44500,5276,30
0:30,24100,3746,30
0:30,260,24718,30
0:30,7460,1338,30
0:30,2910,2509,30
0:30,15200,37485,30
0:30,137000,4828,30
0:30,33700,17360,30
0:30,598000,41321,30
0:30,362000,14706,30
0:30,2840,2852,30
0:30,405,1323,30
0:30,0,1595,30
0:30,11000,7333,30
0:30,0,759,30
0:30,39100,502,30
0:30,0,619,30
0:30,196,3202,30
0:30,211000,14780,30
0:30,0,410,30
0:30,41700,7930,30
0:30,1280,1565,30
0:30,33500,9626,30
0:30,5500,715,30
0:30,697000,16936,30
0:30,377000,4752,30
0:30,0,1715,30
0:30,0,3046,30
0:30,0,715,30
0:30,222000,1297,30
0:30,461000,895,30
0:30,11,406,30
0:30,9370,25464,30
0:30,1680,2705,30
0:30,20600,66983,30
0:30,838,2572,30
0:30,55600,47802,30
0:30,40200,691,30
0:30,1090,1941,30
0:30,969,14008,30
0:30,2220000,64308,30
0:30,590000,2936,30
0:30,2110,2299,30
0:30,11600,441,30
0:30,167,7371,30
0:30,387,434,30
0:30,155000,16840,30
0:30,186000,524,30
0:30,0,1733,30
0:30,1280,5409,30
0:30,383,280,30
0:30,0,7690,30
0:30,118000,5580,30
0:30,858,2067,30
0:30,8290,359,30
0:30,4350,630,30
0:30,175,469,30
0:30,0,407,30
0:30,1350000,103329,30
0:30,198000,48300,30
0:30,7490,186,30
0:30,390,631,30
0:30,29700,1749,30
0:30,1030,135,30
0:30,35600,8116,30
0:30,175000,324,30
0:30,118000,4735,30
0:30,6310,4230,30
0:30,22000,66537,30
0:30,0,3073,30
0:30,1390,6,30
0:30,0,316445,30
0:30,48,1019,30
0:30,141000,148,30
0:30,2110,3664,30
0:30,3380,19501,30
0:30,407,6331,30
0:30,3940,6,30
0:30,1470,550,30
0:30,27500,968,30
0:30,12900000,725018,30
0:30,136000,213878,30
0:30,91900,872876,30
0:30,11900,3731,30
0:30,212,84515,30
0:30,13700,8210,30
0:30,526,4781,30
0:30,302000,1984337,30
0:30,23700,12625003,30
0:30,11300,5447,30
0:30,27400,53856,30
0:30,17,8125,30
0:30,1390,1734,30
0:30,4620000,5655076,30
0:30,276000,386912,30
0:30,2150000,351358,30
0:30,1040000,80882,30
0:30,2150000,248108,30
0:30,4620000,2081244,30
0:30,5620000,11295,30
0:30,1760000,1341968,30
0:30,565000,30383,30
0:30,9720,7570,30
0:30,74700,35381,30
0:30,26500,4196,30
0:30,37900,1219,30
0:30,0,137,30
0:30,8990,95,30
0:30,626000,4400,30
0:30,190000,186891,30
0:30,589000,44265,30
0:30,438000,1185820,30
0:30,97900,6026,30
0:30,98100,126502,30
0:30,772,25165,30
0:30,1490000,2010682,30
0:30,15600,4366,30
0:30,2150000,334403,30
0:30,2150000,698855,30
0:30,540,67924,30
0:30,205000,851326,30
0:30,17500,5287,30
0:30,225000,97766,30
0:30,2050000,171045,30
0:30,0,53878,30
0:30,589000,155935,30
0:30,202,3178,30
0:30,182,24857,30
0:30,98500,69894,30
0:30,12900000,3161181,30
0:30,2480000,34165,30
0:30,249000,273619,30
0:30,14700000,60853,30
0:30,12900000,6369848,30
0:30,163000,16363,30
0:30,3440,4030,30
0:30,40400,9679,30
0:30,0,1925,30
0:30,43800,18642,30
0:30,38000000,39157162,30
0:30,16,78,30
0:30,36100,130955,30
0:30,0,9865,30
0:30,567000,70514,30
0:30,2820,38826,30
0:30,0,303,30
0:30,0,2498,30
0:30,88600,23336,30
0:30,0,4,30
0:30,224,4,30
0:30,191000,4702,30
0:30,4540,262394,30
0:30,94000,11483,30
0:30,292000,39410,30
0:30,2390000,1990842,30
0:30,292000,21914,30
0:30,214000,2115,30
0:30,176000,485306,30
0:30,176000,278714,30
0:30,2860,2812,30
0:30,0,87837,30
0:30,186000,19655,30
0:30,1850000,83216,30
0:30,441000,5980,30
0:30,0,5503,30
0:30,973000,183829,30
0:30,21700,10392,30
0:30,0,226067,30
0:29,2010000,1130378,29
0:29,0,656,29
0:29,26600,69,29
0:29,747,1160,29
0:29,1230000,1987,29
0:29,2240,144,29
0:29,445000,8679858,29
0:29,0,8032,29
0:29,12900000,154041,29
0:29,1160000,610921,29
0:29,840000,12716,29
0:29,1550000,3437,29
0:29,589000,266548,29
0:29,4490000,175212,29
0:28,0,651,28
0:28,1430,121,28
0:28,0,17623,28
0:28,10400,3307,28
0:28,436000,81663,28
0:28,11300,6379,28
0:28,109000,114599,28
0:28,72900,12955711,28
0:28,109000,337558,28
0:28,3090,14198,28
0:28,1890,454,28
0:28,220000,3804,28
0:28,4200,22,28
0:27,0,6629362,27
0:27,3140,7,27
0:27,0,0,27
0:27,5050000,585561,27
0:27,50700,4149516,27
0:27,3730,1074,27
0:27,139000,875432,27
0:27,589000,151804,27
0:27,553000,204991,27
0:27,716000,204877,27
0:27,1370000,734803,27
0:27,11300,4632,27
0:27,160000,295692,27
0:27,840000,173684,27
0:27,589000,490798,27
0:27,29300,3166,27
0:27,93800,166500,27
0:27,888,6,27
0:27,589000,73707,27
0:27,640000,144505,27
0:27,3700000,75822,27
0:27,716000,18797,27
0:27,43900,3220521,27
0:27,69800,36798,27
0:27,518000,47783,27
0:27,567000,77173,27
0:27,1320000,53264,27
0:27,4490000,378550,27
0:27,518000,20355,27
0:27,95600,50368,27
0:26,1710,2939,26
0:26,9770,12013,26
0:26,3140,5,26
0:26,3140,5,26
0:26,0,1305,26
0:26,35600,9076,26
0:26,87600,50186,26
0:26,44,5,26
0:25,3660,1282,25
0:25,3140,6,25
0:25,0,7,25
0:25,466,317,25
0:25,6790,209,25
0:24,65,5,24
0:24,736000,33899,24
0:24,4620000,635659,24
0:24,273000,25562,24
0:24,3440,5694,24
0:24,1320000,261693,24
0:24,0,211,24
0:24,1320000,112636,24
0:24,256000,7366,24
0:24,522000,1765,24
0:24,4350,1217,24
0:24,15200,66958,24
0:24,0,1,24
0:24,119000,2729,24
0:24,1230,3078,24
0:23,0,273,23
0:23,164000,20480,23
0:23,2160,3102,23
0:23,818,1014,23
0:23,539,1145,23
0:23,0,156,23
0:23,291000,383,23
0:23,727,9083,23
0:23,8390,14423,23
0:23,16200,161,23
0:23,1000,584,23
0:23,62,432,23
0:23,2020,8565,23
0:23,2330,460,23
0:23,222000,925633,23
0:23,0,1064,23
0:23,0,2427,23
0:23,2120000,2002704,23
0:23,250000,294611,23
0:23,1710000,627857,23
0:23,874000,345006,23
0:23,2590000,698611,23
0:23,553000,1124109,23
0:23,48600,3348,23
0:23,74,1,23
0:22,2500,465,22
0:22,501,172,22
0:22,14500,5430,22
0:22,5,1,22
0:22,0,9588,22
0:22,1400000,332175,22
0:22,9420,16780,22
0:21,384000,141644,21
0:21,0,1,21
0:21,0,521,21
0:21,2,3,21
0:21,553,10,21
0:21,553,6,21
0:20,460,1560,20
0:20,813,1733,20
0:20,1570,4021,20
0:20,10700000,24033,20
0:20,44000,6396,20
0:20,12100,20200,20
0:20,179000,32535,20
0:20,232000,27501,20
0:20,1430,324144,20
0:20,178000,16485,20
0:20,408,359,20
0:20,312,2591,20
0:20,192,1527,20
0:20,17800,81531,20
0:20,3060,1137,20
0:20,0,374,20
0:20,59,3057,20
0:20,2480,2992,20
0:20,32,501,20
0:20,0,1632,20
0:20,578000,14979,20
0:20,43500,7950,20
0:20,426000,31614,20
0:20,12600000,104413,20
0:20,27900,19113,20
0:20,3290,232333,20
0:20,250000,632424,20
0:20,1630,193,20
0:20,13300,129,20
0:20,57300,6136,20
0:20,302000,877992,20
0:20,24900,19,20
0:20,58700,612658,20
0:20,76100,29866,20
0:20,0,11358,20
0:20,58700,41165,20
0:20,121000,55416,20
0:20,24900,1992,20
0:20,0,707,20
0:20,1670000,807685,20
0:20,450000,404031,20
0:20,396000,702277,20
0:20,412000,1294266,20
0:20,0,992,20
0:20,194000,483,20
0:20,0,887,20
0:20,195000,5140,20
0:20,273000,21776,20
0:20,0,8088,20
0:20,468000,19165,20
0:20,211,5,20
0:20,480000,139,20
0:19,7600,1909,19
0:19,0,818,19
0:19,0,553,19
0:19,151000,1093030,19
0:19,53600,17313,19
0:19,53600,25514,19
0:19,68000,439,19
0:18,176000,4956,18
0:18,566,251,18
0:18,0,859,18
0:18,0,1320,18
0:18,20300,10553,18
0:18,3040,652,18
0:18,2550,556,18
0:18,0,53024,18
0:18,2610,1418,18
0:18,283,3720,18
0:18,0,1166,18
0:18,0,655,18
0:18,3700,98500,18
0:18,0,2,18
0:18,381,47,18
0:18,7960,53,18
0:18,1370000,915399,18
0:18,0,3,18
0:18,0,8,18
0:18,4920,17,18
0:18,150,5,18
0:18,4920,12,18
0:17,1200000,21138,17
0:17,4910,326,17
0:17,0,77590,17
0:17,0,14829,17
0:17,383,132,17
0:17,1560,8938,17
0:17,7330,572,17
0:17,0,0,17
0:17,0,766,17
0:17,4090,2110,17
0:16,65,4,16
0:16,0,0,16
0:16,0,1880,16
0:16,7970,72,16
0:16,0,1238,16
0:16,84,151,16
0:16,22600,18,16
0:16,1040000,2319819,16
0:16,24000,546311,16
0:16,1480000,1441153,16
0:16,24600,1429194,16
0:16,822000,1147727,16
0:16,24000,50275,16
0:16,2160000,22663624,16
0:16,1480000,731669,16
0:16,329000,21029,16
0:16,1160000,460379,16
0:16,0,4,16
0:16,1810,417,16
0:16,3440,1,16
0:16,0,629,16
0:16,0,10,16
0:16,0,2,16
0:16,0,1,16
0:16,0,790,16
0:15,444000,44391401,15
0:15,878000,1004989,15
0:15,29000,408,15
0:15,1260,1275,15
0:15,175000,51798,15
0:15,17000,8246,15
0:15,3490000,917252,15
0:15,1020000,13058,15
0:15,356000,27980,15
0:15,153000,9148,15
0:15,164000,30005,15
0:15,7440000,32422,15
0:15,34000,3898,15
0:15,196000,21042,15
0:15,0,644,15
0:15,48600,3925,15
0:15,4870000,14363,15
0:15,151000,19310,15
0:15,167000,131,15
0:15,10700000,103675,15
0:15,4870000,29275,15
0:15,172000,25955,15
0:15,2580000,9848,15
0:15,1160000,45405,15
0:15,20500,23114,15
0:15,391000,148384,15
0:15,0,9497,15
0:15,7440000,32299,15
0:15,113000,3915,15
0:15,211000,1745,15
0:15,264000,47291,15
0:15,0,4663,15
0:15,277000,58635,15
0:15,42000,66657,15
0:15,107000,31304,15
0:15,423000,31606,15
0:15,0,29964022,15
0:15,0,2693,15
0:15,507000,34888,15
0:15,170000,5622,15
0:15,261000,931,15
0:15,0,23607,15
0:15,890000,23749,15
0:15,20,3837,15
0:15,0,361351,15
0:15,1930000,1282520,15
0:15,114,6,15
0:15,3,6,15
0:15,0,78689,15
0:15,0,722,15
0:15,95600,16667,15
0:15,0,2043,15
0:15,0,4088,15
0:15,8780,313,15
0:15,0,1193888,15
0:15,12900000,249534,15
0:15,202000,729616,15
0:15,0,7089185,15
0:15,1200000,23424,15
0:15,174000,7317,15
0:15,0,6153,15
0:15,90,814,15
0:15,685000,281688,15
0:15,466000,8849,15
0:15,7770,1095,15
0:15,90,1829,15
0:15,0,13227920,15
0:15,44000,11402,15
0:15,3280,334,15
0:15,11000000,107348,15
0:15,58800,7473,15
0:15,73900,49419,15
0:15,295000,75938,15
0:15,1280,7141,15
0:15,593000,10328,15
0:15,414000,153906,15
0:15,1350000,21565,15
0:15,4900000,19639,15
0:15,850000,51529,15
0:15,193000,113029,15
0:15,180,399,15
0:15,6190,13623,15
0:15,3980000,27745,15
0:15,0,2262,15
0:15,869000,7266,15
0:15,6210,9245,15
0:15,391000,142803,15
0:15,0,182362,15
0:15,4900000,26988,15
0:15,111000,498,15
0:15,7750000,34944,15
0:15,7750000,261561,15
0:15,0,2674,15
0:15,0,22983,15
0:15,0,436,15
0:15,127000,7262,15
0:15,10900,171,15
0:15,2730,249,15
0:15,0,441,15
0:15,3980000,1790394,15
0:15,144000,29808,15
0:15,19300,309,15
0:15,36100,3602,15
0:15,189000,42034,15
0:15,342000,74852,15
0:15,700,600,15
0:15,0,7066,15
0:15,426000,3171,15
0:15,3280,50,15
0:15,470000,401,15
0:15,267000,44221,15
0:15,0,0,15
0:15,0,16,15
0:15,81100,8809,15
0:15,1490000,255711,15
0:15,0,467,15
0:15,0,526,15
0:15,56700,4642630,15
0:15,1940000,1294394,15
0:15,0,771,15
0:15,1130,2,15
0:15,0,32595,15
0:15,400000,1513,15
0:15,2820000,6072177,15
0:15,2250000,184073,15
0:15,265000,26378,15
0:15,617000,10573,15
0:15,38000000,93874,15
0:15,433000,28079,15
0:15,0,355,15
0:15,0,1201,15
0:15,0,2,15
0:15,2080,78785,15
0:15,2070,2075,15
0:15,157000,7538,15
0:15,2620000,25,15
0:15,860000,586321,15
0:15,0,1174,15
0:15,0,74,15
0:15,143000,304616,15
0:15,57500,508155,15
0:15,482000,4679376,15
0:15,1620,497091,15
0:15,870000,175776,15
0:15,1880000,43118,15
0:15,53500,25611,15
0:15,62300,626236,15
0:15,5050000,840607,15
0:15,11300,14669,15
0:15,11300,8701,15
0:15,37700,45366,15
0:15,33300000,14578,15
0:15,626000,627132,15
0:15,1760000,1722919,15
0:15,1510000,173437,15
0:15,150000,2365169,15
0:15,1090000,181546,15
0:15,35600,3441,15
0:15,4620000,506745,15
0:15,855000,528374,15
0:15,840000,365167,15
0:15,24200,96265,15
0:15,720000,1014329,15
0:15,2550000,17763,15
0:15,0,15314,15
0:15,626000,380021,15
0:15,2390000,495726,15
0:15,12900000,1377859,15
0:15,21000,170052,15
0:15,1340000,277056,15
0:15,32400,114385,15
0:15,0,9952,15
0:15,41800,2067,15
0:15,73100,29303,15
0:15,4620000,7651065,15
0:15,429000,411873,15
0:15,0,117588,15
0:15,949000,1117294,15
0:15,1940000,1284417,15
0:15,11300,7788,15
0:15,64800,115067,15
0:15,165000,144810,15
0:15,37200,26726,15
0:15,37,1732,15
0:15,14500,5543,15
0:15,1160000,3219143,15
0:15,351000,254755,15
0:15,67500,551557,15
0:15,107000,112263,15
0:15,88800,189129,15
0:15,5620000,11993,15
0:15,325000,19605,15
0:15,840000,270253,15
0:15,456000,36280,15
0:15,492000,575683,15
0:15,0,16285,15
0:15,333,4743,15
0:15,35600,2641,15
0:15,4140,7511,15
0:15,10700,5905,15
0:15,3700000,43731,15
0:15,589000,63178,15
0:15,1730000,552356,15
0:15,1710000,620053,15
0:15,1490000,271004,15
0:15,150000,336155,15
0:15,95300,2961,15
0:15,589000,23068,15
0:15,0,0,15
0:15,0,480,15
0:15,80100,193,15
0:15,166000,6201,15
0:15,156,4,15
0:15,0,213,15
0:15,589000,222336,15
0:15,1170000,347610,15
0:15,18500000,15803977,15
0:15,199,393417,15
0:15,1550000,1276726,15
0:15,250000,40870,15
0:15,91600,76404,15
0:15,3330,4415,15
0:15,139000,30535,15
0:15,15700000,2585021,15
0:15,82500,118902,15
0:15,230000,12952,15
0:15,12900000,1480616,15
0:15,32900,50520,15
0:15,949000,127620,15
0:15,6900000,123128,15
0:15,14700,53775,15
0:15,15700000,879160,15
0:15,429000,464266,15
0:15,2050000,230164,15
0:15,1370000,35582,15
0:15,1160000,1179793,15
0:15,15700000,1791003,15
0:15,665,34,15
0:15,589000,147713,15
0:15,38500,310744,15
0:15,338000,786686,15
0:15,456000,41419,15
