482,6,9
478,263,3883
478,16,7
475,32,94
474,5,4
473,0,2
472,140,84389
472,0,141805
471,999,6079
471,1,10
469,177000,30490
461,12200,564
459,0,432
458,44,2
457,768,34
457,87600,42441
456,57100,4422
452,750,4143
450,2160,7325
450,2390,10135
445,254000,10489
441,0,5
441,567000,37415
436,87600,10887
432,2390,4144
432,894,7139
430,184,401
429,817,6207
429,163000,67490
428,2390,3482
428,136,7528
426,2160,1800
426,2390,2205
425,0,20149
423,0,49
417,1470,2655
416,1560,1939
414,553,8
412,33,1808
412,0,708
412,892,52147
411,87600,14578
410,2920,8713
409,1280,9886
407,819,7099
405,0,3009
404,12,4
403,5980,19332
403,24900,52020
400,856,2314
399,3580,5661
399,718,645
397,2,6
397,0,1691
397,0,5
396,87600,24118
394,0,1193
392,42,31
389,101000,14955
384,868,1053
384,27900,39456
381,0,131
381,121000,205642
380,189,40048
380,217,47106
380,3940,897
379,16,27
378,225,5554
378,232,5579
373,129,4278
373,0,4
372,2880,30342
372,87600,12251
372,53100,31889
370,469000,3423
369,1930,1134
368,0,32
367,203000,3289
367,3940,433
367,2390,845
367,87600,17250
363,87600,120074
361,137,27
359,87600,15953
359,492,1468
358,0,6
358,553,10
357,277000,233542
357,87600,21503
357,87600,36030
356,14300,5393
356,2,1
355,87600,16534
355,0,3051
354,118000,28027
354,98700,12586
353,13200,119
353,13700,3471
353,9200,7821
353,13600,1790
352,216,51986
352,219,53055
352,87600,121078
352,87600,14175
352,3910,1504
352,87600,14315
351,87600,14958
351,4070,26946
350,47600,6968
349,23900,1261
347,0,1209
346,8,2
345,144,795
345,757000,170802
342,2,0
342,1,2
341,540,3
340,87600,16867
339,8,3
339,11500,1382
338,69800,10526
337,26600,92
337,130,31346
337,321,5466
336,5,45
332,9810,338
332,506000,60604
331,4230,316
331,87600,13549
331,0,5
329,0,7662
329,0,8155
327,0,0
325,87600,16980
324,1080,4488
324,1120,5514
323,87600,20576
323,87600,26789
322,0,7437
321,87600,17356
321,87600,28285
321,143,24
321,27000,7
321,254000,51539
321,15300,6274
321,840,174
320,87600,16027
320,7410,11709
320,412000,78152
319,432,17663
319,1,1
319,87600,115663
318,0,784
318,94,1115
317,0,101
316,10700,1040
315,104000,66282
313,9250,18937
313,9830,21115
313,567000,32754
312,8660,18
312,611000,142542
311,1680,23356
310,2160,4725
310,2390,5090
310,3130,487
309,1000,1
309,87600,67732
309,41,1179
305,446,264
305,325,74
305,0,8
305,132,7146
304,588000,4521
304,87600,31155
300,4070,41850
300,4070,11513
300,87600,29300
300,4070,166639
299,242,371
299,0,0
299,4070,10147
298,2390,4539
297,891,52
297,87600,42049
296,87600,37912
293,1,7
292,13300,39500
292,365,10896
291,42700,24567
291,4,0
290,27400,14406
288,149,4
286,647,91
286,87600,22701
286,11900,21356
285,87600,17919
284,87600,199678
284,87600,72415
283,1480,4866
283,17900,10367
281,44100,3169
280,167000,18633
279,634,268
279,0,4520
279,567000,36610
278,133000,85714
277,3940,2557
276,87600,27564
275,20,1
275,1190000,48329
274,107000,3493
273,16900,1515
273,87600,47500
272,87600,24728
272,87600,19206
272,87600,12995
270,0,1068
270,567000,225080
269,422,68
269,1,2
269,77200,54923
269,1040000,66286
269,8230,3463
268,873,708
268,0,92
267,2160,3708
267,2390,4388
266,16500,1157
266,2390,2641
265,51500,6453
264,11200,4981
262,357000,104382
261,298000,21066
261,57100,142
261,53600,114328
261,1340,74
261,1390,63
260,1170,119672
258,4370,18648
258,7500,3717
258,87600,30769
258,567000,45767
254,87600,18836
253,2210,7262
252,939,205
249,785,2518
248,0,1956
248,0,2382
248,0,3
247,1,1
247,7860,259
247,589000,197164
245,1960,183
245,308,471
245,16000,6984
244,68400,2090
244,11100,1988
244,313,2086
244,87600,14614
243,205000,185119
241,293,21122
241,603000,52105
241,186000,12920
240,0,71436
240,204000,88602
239,757000,235343
239,87600,42359
238,0,0
238,3530,1534
238,604000,48048
237,87600,12926
237,4990,16920
236,1170,37
236,2080,67
234,3,1056
234,87600,16773
233,511,2148
233,0,15
232,87600,87159
229,87600,10801
229,87600,54248
229,45,1550
228,87600,22615
228,515,20
227,1140,1558
227,5880,2298
224,411,281
224,87600,150345
224,249000,3575
223,11300,20263
223,69800,10222
223,8270,19
222,567000,166186
221,992,49
220,0,9
216,18,2738
215,36,18
215,0,30
215,293,4053
215,567000,238329
214,2390,1044
214,828,186
213,236000,48833
213,87600,51786
212,11200,2191
212,20300,21221
212,121000,59765
212,20800,29010
212,567000,185878
209,3140,325
209,0,35
209,567000,161443
208,7280,2464
208,0,160339
208,1230000,161214
207,9850,18941
207,87600,16688
206,1920,448
205,0,237
205,343,6387
